order_id,line_number,transaction_ts,store_id,customer_id,product_id,quantity,unit_price,discount_amount,payment_method,order_status,source_system
ORD-713358,1,2026-07-16 18:28:34,15,914,57,1,67.39,0.0,Cash,Completed,POS-v2
ORD-713324,1,2026-07-16 12:36:54,17,515,108,2,152.24,0.0,Credit Card,Completed,POS-v2
ORD-714124,3,2026-07-19 17:47:01,16,137,132,1,29.88,0.0,Mobile Pay,COMPLETED,POS-v2
ORD-713420,3,2026-07-16 21:26:07,20,670,71,2,11.90,0.0,Gift Card,Completed,POS-v2
ORD-714189,3,2026-07-19 18:43:04,17,863,69,5,392.90,0.0,Credit Card,Completed,POS-v2
ORD-714435,1,2026-07-21 12:13:01,14,580,152,1,44.47,6.67,Debit Card,Completed,POS-v2
ORD-577038,3,2024-09-14 15:46:19,2,1050,67,1,16.30,0.0,Mobile Pay,Returned,POS-v2
ORD-714297,1,2026-07-20 15:24:47,1,918,126,2,5.42,0.0,Mobile Pay,Completed,POS-v2
ORD-713176,1,2026-07-15 10:34:30,7,742,108,2,152.24,0.0,Cash,Completed,POS-v2
ORD-713187,2,2026-07-15 17:48:09,21,719,158,1,25.03,2.5,Credit Card,Cancelled,WEB
ORD-713393,1,2026-07-16 18:09:20,19,635,155,1,19.51,0.0,Gift Card,Completed,POS-v2
ORD-714496,3,2026-07-21 17:03:03,17,461,100,1,70.39,0.0,Gift Card,Completed,POS-v2
ORD-714084,2,2026-07-19 12:10:05,3,936,240,1,14.88,0.0,Debit Card,Completed,POS-v2
ORD-713233,1,2026-07-15 12:27:47,15,,52,1,244.00,0.0,Mobile Pay,Completed,POS-v2
ORD-714044,3,2026-07-19 09:07:23,15,161,76,1,474.35,47.44,Cash,Completed,POS-v2
ORD-713920,1,2026-07-18 14:13:22,7,931,189,1,648.50,0.0,Credit Card,Cancelled,POS-v2
ORD-713657,1,2026-07-17 20:30:44,20,408,175,1,14.65,0.0,Debit Card,Completed,POS-v2
ORD-713638,1,2026-07-17 19:28:06,1,412,37,1,16.94,0.0,Credit Card,Completed,POS-v2
ORD-713522,1,2026-07-17 16:09:40,14,,49,2,13.16,0.0,Mobile Pay,Completed,POS-v2
ORD-714350,1,2026-07-20 12:50:05,10,570,166,5,4.90,2.45,Debit Card,Completed,POS-v2
ORD-714301,1,2026-07-20 16:00:22,8,,89,1,293.17,0.0,Mobile Pay,Completed,POS-v2
